COMNID,DPAY_SETTLEMENT_AMOUNT_202406,DPAY_SETTLEMENT_AMOUNT_202407,DPAY_SETTLEMENT_AMOUNT_202408,DPAY_SETTLEMENT_AMOUNT_202409,DPOINTS_USE_202406,DPOINTS_USE_202407,DPOINTS_USE_202408,DPOINTS_USE_202409,DPOINTS_GIVE_202406,DPOINTS_GIVE_202407,DPOINTS_GIVE_202408,DPOINTS_GIVE_202409,DCARD_USE_AMOUNT_202406,CONTRACT,CONTRACT_PERIOD,GENDER,AGE
40,84343.80950622515,91548.96510789885,81264.24615955821,63772.03464492419,218.52634534153933,236.89377123759485,279.95965270794494,228.90206901003293,157.8574936789107,175.14417195332328,204.510563984183,205.80136986158413,220124.74482047558,1,2,1,20
41,85580.21629406931,93562.90125860987,99196.33803480717,107588.74125816875,297.529361067677,389.7998399279964,273.03966391116296,332.2008800908852,256.01782729073204,260.00593260059316,269.71789838999626,274.3062613898802,226782.51430729835,1,2,1,21
42,74203.8506302845,79928.51213256938,83567.18611602236,73479.92998666006,306.7633561180855,356.82720357817203,358.02738674595105,379.0146488804205,272.1971012765477,287.6396472918461,296.6211848390228,330.8815275382799,233187.50162490708,1,1,1,27
43,79266.14355231631,75878.95990136293,79136.27993885153,68953.02841460353,343.6137572501122,380.95298060753544,338.1241294305051,280.41148020961396,95.62501183784963,116.38133301883207,128.67438371959213,131.06960990365732,278612.213551314,1,3,1,41
44,72211.64576530745,66831.2849198043,66309.14209423003,67048.29211864497,374.63992216275784,465.376109726166,443.6319430348757,461.56549181250926,283.17229196247126,267.13850935459266,289.6937414290753,291.1428444290554,167208.76384085586,1,2,2,44
45,45843.88440199643,46830.449256984735,62213.69202611053,61020.56444048291,273.95124429490187,348.57375356299235,328.4025503071317,251.62354523537022,303.857177725967,339.14459375950867,305.6625914721424,327.82253066906355,196027.58617986654,1,3,2,21
46,62969.799209880664,85914.70296283814,60433.85652794122,79991.9164788414,446.1791116257561,511.5990272531149,529.8139329758955,479.72821222531235,201.92994172887433,172.67327328464287,210.7653396548628,211.70946041912836,183627.89134426272,1,1,2,28
47,65638.20567154704,61660.43697384558,54819.43558455673,69316.75851160743,381.44636755510567,419.28393926177813,410.3732920722722,393.2178825923154,271.8654486958734,291.3838900479139,335.59112356662524,295.0927913908437,175761.71317088034,1,2,2,28
48,98765.36793961638,98355.88118558523,91890.45637055357,99926.38340925793,336.6409153950941,360.4486100920782,371.1102341276324,419.24835461883384,487.62447836330637,460.66198946896594,460.7399117332169,461.82616344838505,253117.11291317482,1,3,1,32
49,80192.03230884053,82997.47915867233,82690.77149502546,93836.32193990612,322.2053521948735,343.8092336042097,403.5484932434986,277.35252162471977,213.5331592239722,265.3951216092091,242.98597166932436,209.54916771221798,105036.98285895638,1,3,2,25
50,41083.22156494147,42267.48077030133,56667.23035317148,53259.11498560895,397.2838042761991,397.37881293694034,439.474215524368,414.6753386676429,258.04299373365313,259.1876764524055,228.97634067954817,263.22576506419256,148204.79068545692,1,1,2,49
51,73928.94913604841,83169.28629911195,85974.46340667838,104125.06498927384,466.9482515149309,549.7281900719919,509.9757202185057,506.2816776492355,190.71131347659914,195.48858050006854,161.31852328546276,172.13836271544506,257008.92137319074,1,2,1,34
52,63859.43291754651,75090.75540388367,70064.57576408588,53032.77475903569,270.2528954645453,288.90944300125193,351.2084835441249,343.12252190976426,241.77407933535972,261.93752471976836,267.65044295482,254.3531890884833,222232.47952635924,1,3,1,34
53,58076.50410992911,49359.80897996289,51477.5988967293,66761.97009094128,301.5052845526263,309.3640485546195,346.7186041120332,313.2684613375506,267.54006173871255,307.68258053531196,311.38148619029636,318.06661421135016,152821.43678941668,1,1,1,69
54,85361.57561078279,102605.2405021374,101659.31685477227,76213.16013844969,322.1755065942105,338.30976771486405,414.05716924585835,360.6023385136826,241.3620624097741,277.50402451182197,238.34679358159102,262.4361481105355,232245.24764199497,1,3,1,26
55,90987.42417602027,106945.81844634099,92796.56460163838,99855.85626396797,224.4449718964549,282.2072605106014,276.74209480627775,246.9284637858997,144.30188875243306,170.84924905969905,169.91565566450137,173.25971222097766,200892.75363668575,1,1,2,30
56,90957.88425320855,86196.88652169262,97425.26807502794,95232.97306711256,293.39851923090833,322.3528558079167,311.5024563871119,306.29397442206766,252.06647186845746,255.4156042142747,258.99458352496174,271.9753345962746,262597.61758016085,1,3,1,59
57,50643.579223556626,40524.87680602321,80977.84645812961,62514.40772700669,312.34497906960496,384.980681956331,352.1797953310331,321.42311612368104,355.26982293538254,329.92882503521344,386.03743619726083,398.7272933542583,174897.79490794952,1,3,1,57
58,71559.2548649502,64045.03102156169,79920.91245556736,61819.60916131773,452.55461726775934,507.57670805359334,486.72360502718925,460.7613531971452,256.2421346929737,290.8325742749103,261.5347950547105,274.37915208425636,212504.35705452706,1,1,1,59
59,81212.70103351431,84198.60401380005,67086.22005548919,64315.92172995985,366.9619992678411,384.8444374984705,410.6743932374762,439.2874405610435,295.46776828354336,337.5687710963448,335.56052809309705,322.50853352058607,303350.9453578293,1,2,1,21
60,85984.86450356709,125313.82152935493,78276.77970621751,68094.33964172364,412.01811443287716,395.1406580364433,468.31565658786104,423.30745233493667,201.90200106612633,199.54169014949673,217.96522865906465,228.91505496350612,216782.62505248556,1,1,1,67
61,61242.365690360835,75849.08489283692,69644.78984166324,68448.81292912159,465.2911280802186,526.0496586650719,493.9786571819073,499.83739144451147,268.9732089409003,285.31813586732585,314.45277965042635,332.7227162693922,203576.9880760911,1,2,1,58
62,72969.8276045345,58210.92397490908,61733.933088226,69821.80387922957,372.1209285968044,380.1638738227562,389.10497543504755,392.68325285108546,228.48497317953257,277.38802652475556,273.7200481034915,299.22354093241114,211827.7093657729,1,3,2,29
63,50158.19078795049,50976.745470869995,65655.86149147541,47734.23554782203,434.8549914852262,474.67423953342933,450.694712640682,460.17664302731686,158.38464883339503,180.70997534917882,168.89156014216906,183.4188180189003,184494.5159085744,1,3,2,63
64,47591.1602176961,55543.74315565675,56583.02429796634,75914.0944608615,343.17356719583603,385.18739626929084,479.07346020886473,416.0242446514002,269.5606174315366,255.6687341820688,285.03791730929765,300.13986786514755,307696.58295115345,1,1,2,36
65,90877.55306284358,98787.35199086493,98235.13367617031,83358.94364595429,389.3683452794024,397.5065420913072,392.58450928197306,374.2847363439797,163.72994632195343,159.18297265341442,171.5373216108344,174.21748685415497,175073.2288677108,1,1,1,26
66,103842.78824730754,93977.31196831223,98643.88239170822,128377.31180349851,273.82744688719754,332.6263109088406,316.3729788873535,316.0948447264109,143.63970891216675,162.63980123780811,196.71345196768274,195.91751305688018,168493.67236683468,1,2,1,59
67,66378.03528319752,77209.8952886227,99456.40143183379,102917.45373243217,188.92674237440184,127.0767903058662,114.70115364894718,149.17700544765592,241.47028827774105,292.6915426596546,258.0179339029351,288.72074631510236,146855.2925331168,1,2,2,58
68,97821.30036392987,92894.26658173508,134181.782693966,70807.15095599976,353.5803774750221,369.6055009092969,379.59410662830504,385.89175801674935,237.24816253652153,247.78205372304086,275.3315096653166,283.53189537508587,210606.18059479503,1,2,2,23
69,78231.2540929158,76195.13487492951,83889.7038158721,88618.44238593723,533.0493716082923,548.3025848069514,549.6403669098148,522.172096395453,137.01746436114252,165.70659061880067,159.3022737567511,140.150789475678,229803.88222052078,1,1,2,54
70,62007.965066648525,69693.56137488705,71334.07588887753,61102.15754535766,437.85831733745005,507.96969293522983,478.6618646739269,519.9822503538084,308.05150891248934,333.6196477715625,314.53602009301767,354.26728045711707,166859.49322752646,1,3,2,66
71,82050.81140671074,94966.68384459651,88396.92022694004,43550.8529394093,486.46751697197726,448.8340087614881,480.34794451456395,555.938199507835,284.63918085770666,321.552374656533,288.7710775056903,291.5906496436322,212811.24849743256,1,1,1,55
72,103125.40073812052,119171.14409893558,107644.48896802656,89091.11253329317,530.764889713615,523.0920319553488,527.8852181794657,529.1979308480738,173.33442879510915,177.77664329563416,172.51800625850584,187.00525469664518,103954.98948254295,1,3,2,50
73,69165.18048714739,85027.34272913972,69298.6336050074,90907.52082442808,377.6601441155841,391.26728702935117,393.8025243512528,411.39599006209005,78.55318786029763,128.21827049087372,126.19630782845024,144.8533036480602,187519.26292364375,1,1,1,44
74,104864.44037581881,106319.1777848775,98273.2572665144,141580.86190694908,369.51394080876753,400.27912647179517,429.0368455560447,445.2152583936895,203.90134558149236,204.43909548873847,226.56098957640492,236.63099085658723,200324.5943269165,1,1,1,60
75,30731.74946358109,34750.595532840176,13977.930731898825,41145.270058693844,305.4588824376543,342.2153490305573,371.66184085884316,282.2596178004619,194.411279613507,175.5539661523121,229.7401658507323,222.10367361191297,253606.69244029006,1,2,1,32
76,84629.67493518633,99528.59446854737,101300.93039409423,101292.53717519915,293.8574838981505,351.8791582166187,388.70362849131925,369.2467826104473,240.40289300270814,270.9779082415513,272.50577611937564,272.2900282456578,134583.82154451584,1,3,2,37
77,85202.5064602878,83080.36019428355,75504.8476263198,81420.9556402971,430.8193809566773,503.04125482251436,488.0075153920702,490.94818974113963,179.86551499199467,185.25015032616065,202.49569583626732,205.291805522107,111916.4281033622,1,1,2,40
78,67721.24713529999,67902.92177366465,43080.33878899628,99259.79671040435,506.80778650314153,556.0303000044134,552.9659960620833,501.09382380084827,46.356555587207396,84.83910045170862,89.35730423242973,97.10046243404327,136363.54541600533,1,1,2,67
79,77012.07261615324,76866.45425729477,87173.51417788991,114058.80356007465,355.3402195444297,421.5102212501612,394.5402172354611,349.25855503484104,199.775924999505,239.15815389536573,231.7025765208746,245.92170704113983,107603.42740768337,1,3,1,20
80,29815.067651058507,40987.49106922768,39789.48631841227,31445.981515119354,319.2982824210795,340.1337676501498,350.22184273356584,349.4069052118655,184.49546152377704,240.48416823642856,222.04430471125437,206.42112823974276,238141.57546296986,1,1,1,55
81,66750.21515986236,100005.30691310478,91766.63826006351,45606.76383859539,380.6041582079004,371.17783083808007,376.88520375916386,398.23223288960213,255.6634405844129,287.4011722229528,286.1285314858138,309.6910597585493,265029.67334246024,1,3,2,69
82,79627.70318004483,90154.67623114883,91619.72019532704,55669.439481166904,442.20117183190257,462.58157277455496,448.3853299838399,432.86110643544777,167.4669183416459,162.37396330295257,172.29595547022012,177.55467133951026,199716.96861692,1,2,1,27
83,99329.40604044075,103445.99587232746,91813.79773910675,129386.09577722735,192.41640713654215,251.1040673980578,239.903952406339,318.49935666817436,356.96728249972557,394.4838711029159,401.37932510137256,404.7219275466133,235672.45191636175,1,2,2,67
84,63590.00584767269,61310.70118483262,42878.47594576728,68928.71752291126,142.15836393185197,152.11720981357524,192.33207448490353,156.0210132560378,63.892748787769925,123.91389160506306,115.12301891355884,117.30686762285487,191760.70374388766,1,3,1,40
85,56795.04848310239,58912.46181557422,55196.459330081,66578.75659901703,363.6660175354265,309.67428165083277,355.3497916886675,310.33653450804456,324.3373454733355,341.6486382508975,350.734447846729,347.806953019228,170712.83867810236,1,2,1,62
86,74218.76484048793,91737.79360379992,62463.57007998544,43105.094233958574,221.22843249562368,276.683218330542,298.8314932900132,275.1201178364658,212.26201817808752,215.98822516160928,247.37723402028516,276.24705537356886,163978.76934219312,1,3,1,40
87,87478.17142563917,94315.47589458186,109625.95276604348,87010.20866221449,317.4776035786076,337.0638967276947,314.37587455226435,376.42179936640366,287.96434623228726,308.26875053010457,259.4625791897777,340.89929597023024,174230.8909783504,1,1,1,46
88,82088.47477693662,95643.72753929654,86468.5710057188,82142.80998468195,394.0568905592869,405.87237922939346,428.1744526454852,385.7443955881998,237.44457404967122,267.8162929408409,282.93521173888337,270.52269842742203,96572.5112528858,1,1,1,38
89,65644.02733416835,65645.51346994565,83009.05790184133,72522.37167512029,346.7586622285722,374.62834064334305,341.8657479524958,369.24297669901875,315.4574148402775,365.7347950103358,338.02554677649397,354.17666080416024,181488.62210202953,1,3,1,42
90,79913.74591900792,92877.19407506341,74367.3519938355,84286.46807856073,504.9788198315533,578.2707476097561,512.2462541848347,519.1014356170798,201.52579516657494,194.21890660816464,221.8465740517649,238.68958101989958,176531.9586590844,1,1,1,69
91,80375.688464225,89859.00372704802,93524.72359952619,66381.65801244066,406.7971840526841,394.89560990383086,419.4979435155776,477.3051298523374,155.2834494673247,132.14472979928195,155.70001151245563,142.1975178408918,203633.38604203914,1,2,2,62
92,92381.26474624964,93653.87131255853,108024.76965182881,87604.39492161994,400.00520236138635,442.07918519189184,504.5604157387081,446.89876679863613,356.229060662544,410.44026942033406,391.5544926190352,367.5324949509056,181901.68972842072,1,1,1,54
93,48496.989864537616,59547.82158092525,41740.12878527859,84083.78741166144,417.2592783179068,440.39674321733,450.58920840959314,493.6517614706685,240.24470539541994,237.37509257162793,219.706915850318,248.58535603697524,169058.44012841085,1,1,1,59
94,71746.00512856746,90035.45401259794,89318.1711631739,77118.52636209714,254.63164607206144,249.50426189759054,276.3637940777953,297.0715071961782,260.29688134339426,272.78253380374304,297.2138844220736,259.72195662388566,111803.50726056284,1,3,2,61
95,61573.13251684503,82003.76588631481,73279.33883855307,81340.18904169012,468.3118560858963,491.0531116335656,498.14803832313663,528.6576998738905,332.3585160967107,334.94153631123083,356.7055715424858,358.0760585124629,188914.01347853316,1,2,2,67
96,40490.82630666213,58636.424224264905,55434.2350837797,37246.593874197686,364.678550107989,424.48472075049256,387.96495984351037,366.2319945561372,140.94210606784304,177.24282682149953,179.89686495080838,192.07746664112534,215084.96387399492,1,1,2,24
97,84361.9159557535,93795.16847252066,75543.65219215045,41615.053260282155,422.08039811030056,455.8785111170067,443.6037797500836,452.30574922343436,271.8228579688972,316.84048930517105,291.0551805445623,289.20389005582246,134652.01497352633,1,1,2,60
98,78485.29803150553,89816.86032670844,100524.06959866146,77374.54084033034,237.28191269109124,339.77791649475785,297.11066919216836,333.20869456266536,169.64175988643157,208.80434291442734,176.64403552504132,201.71993347554263,186529.00748197778,1,3,1,27
99,79691.12988560673,100280.02726459986,65872.04118198279,67103.71081646677,213.79850793054615,261.09047886400356,276.8919706443435,291.41638181691246,219.49439091422363,274.2436130887389,258.03666685917227,223.01474563137134,199008.2332796297,1,3,1,30
100,76359.08780932365,75747.34035126862,85293.36155298441,80543.44136191825,486.0913301660784,469.9662514330855,491.21764526686405,447.37699781093056,246.24312941142213,249.24742543192127,262.01048425452973,220.04253703452724,155997.1483511572,1,2,2,35
101,43467.94285738023,57465.208831000906,61539.87486989577,100978.44086421934,409.2850111350076,472.4424054769439,404.30599364275207,445.13303464566604,99.09723704099981,124.7246016235376,157.21472025042146,145.56089469465533,149290.01392689254,1,1,1,58
102,70553.40602446797,57077.96425875269,59897.084406626156,82014.58380896665,273.162968985618,323.1567477276775,299.46446741623765,296.86653054969213,167.13476869440862,192.32116359991355,183.81751017005126,187.1783606775803,191522.3105496717,1,3,2,66
103,64368.40566250021,64896.10280355221,96946.1928625355,114185.11206021695,298.11540797330053,285.05691021912935,296.48786986948164,292.1227477915847,327.9253979622246,367.38506430317307,349.70120381507286,359.03741973610687,107593.51685146651,1,3,1,43
104,70120.03420122851,51946.26461721722,66732.79637817785,72486.00004565936,479.3770861895694,568.3075575088924,514.131662488521,521.0886693021405,304.0356100395979,325.45424032803584,348.65705981958973,301.15982272331314,209891.56321481205,1,3,1,40
105,68309.50074402375,89514.92160184131,84620.99708993212,67325.99220308909,288.4194692124494,288.84317540586153,320.97236086013675,315.2876986842295,216.74808305457196,219.30053327471938,283.22671710377006,241.27876323309738,133775.30731982447,1,2,1,42
106,88211.4543410908,62555.615616083276,69755.56759226171,93299.75830810402,534.1890451396948,564.8311810851611,559.8008114449699,577.8171695241222,238.35721811162068,275.7001800049427,269.6368202083461,291.3817524646739,223085.379148181,1,3,1,68
107,116942.66815361848,113700.61779668336,143136.47806031338,144433.29701637622,293.9478677983764,284.27194643804467,307.29328046910143,300.3525530376421,196.261099125103,218.97712785301465,211.40544961194126,226.47702628467258,304288.61213428923,1,2,1,57
108,80071.99536718144,53554.49023003055,68796.8729739357,110934.99520145536,418.7471049129728,499.2253405890704,517.1685371254212,479.28502795889307,346.07660247392204,346.90713058474563,374.7372861220295,359.1103460273468,115164.3479952665,1,2,2,66
109,76798.29200737187,76838.12885963637,97449.64500764645,76520.94729380909,347.1999374918348,382.65641524594076,393.4243321752514,356.33886721767453,212.52055269651157,234.62143487153176,228.89138245305338,238.12235933373535,202417.65089000197,1,1,1,27
110,72754.09422496961,73601.592187358,66573.8210694963,82308.83712016614,435.8206126471094,479.19588851709153,477.54118157143034,472.68217213015237,242.12104142078732,249.31691362420358,280.53262387880386,243.81972480265875,152746.01516801745,1,1,1,26
111,25856.63512929641,55473.286631959614,34196.71005984698,20185.572498951995,314.45847729539656,330.36265948280766,404.332548247634,387.4825708022527,325.6034790695734,318.9745850539006,336.4968920437902,354.18082081341237,227670.49017023042,1,2,1,21
112,75591.82268292691,83436.00188323023,88934.77101764103,91839.7518613871,343.6855541693762,408.7437265500726,398.415047036591,321.40591961374577,161.59253795031273,135.5009020122505,219.09056157656374,162.70631891401086,109557.86003625343,1,1,1,49
113,77952.68085396245,72873.18896553086,93535.23676292242,104504.92468465894,361.3313142265246,431.4463253466962,344.4961032802465,428.00948649577316,371.60090316503704,409.6478813299493,360.7133446587375,355.910823134171,199867.78995025612,1,1,1,32
114,124932.33934501257,139924.47944702397,114009.4312603365,129861.83406144596,275.42830770144576,279.7179072584191,324.7612271582636,253.60960677473867,92.955094915131,138.6777136025899,137.17368047096906,106.57879184038656,116251.25901084661,1,3,2,42
115,56286.24984791477,76331.10324967513,89238.44673306149,66142.01988897563,456.66121673594205,431.5727303515829,426.3221808284531,510.93226585834645,357.56679779676466,378.03608806289776,370.59733108438144,376.86687115641297,176805.5548629119,1,1,1,48
116,74702.76462122319,86406.61543374477,98570.71278827058,91432.91111583568,316.13538742695886,366.11983513300925,362.2388044103149,329.5678750566557,179.114474958837,206.84148854610908,214.55582205542663,213.13689921308486,127219.87582286552,1,2,2,57
117,70565.30969165183,67279.04952817521,68050.32369975642,85567.65007634263,352.885367048414,329.939599977826,325.727701242121,340.60986713780363,205.38098429562604,173.0634545330491,222.3429870787659,230.55959940781236,218394.27744484006,1,1,1,56
118,53084.73391355459,46726.30210857797,75810.21037070268,57843.596725353666,269.80676897649334,305.12553587428215,286.5594002271512,321.4231393518112,53.60465383976512,84.22860878093488,113.57134762723288,80.69406310983571,135464.29611393024,1,3,1,39
