COMNID,DPAY_SETTLEMENT_AMOUNT_202406,DPAY_SETTLEMENT_AMOUNT_202407,DPAY_SETTLEMENT_AMOUNT_202408,DPAY_SETTLEMENT_AMOUNT_202409,DPOINTS_USE_202406,DPOINTS_USE_202407,DPOINTS_USE_202408,DPOINTS_USE_202409,DPOINTS_GIVE_202406,DPOINTS_GIVE_202407,DPOINTS_GIVE_202408,DPOINTS_GIVE_202409,DCARD_USE_AMOUNT_202406,CONTRACT,CONTRACT_PERIOD,GENDER,AGE
30,42819,54880,72146,145227,322,135,712,370,192,407,354,489,162707,1,1,2,26
31,55930,77677,90206,53255,266,510,154,627,99,410,97,353,98695,1,3,1,28
32,48435,21575,31568,110453,435,453,704,519,285,305,274,216,96864,1,1,2,56
33,6604,64949,69542,149487,706,422,597,655,211,43,275,63,283809,1,3,1,31
34,51482,43547,71759,102323,485,295,651,302,85,412,356,301,4420,1,3,2,24
35,75451,582,48613,131310,666,711,198,207,155,445,147,322,250718,1,1,1,40
36,49579,4929,73620,96387,472,434,342,413,77,411,118,56,87134,1,3,2,32
37,63269,77687,19024,111608,376,652,548,441,487,146,287,488,191315,1,3,2,60
38,96146,68166,58811,148499,216,686,238,577,470,429,51,102,216267,1,3,2,47
39,85916,42451,63397,114632,162,481,714,700,492,220,299,498,144529,1,2,2,20
40,32482,64894,23612,78957,676,736,790,143,474,479,391,125,149505,1,1,1,64
41,74555,4820,91110,118440,703,231,392,258,254,31,311,38,217342,1,2,1,35
42,84750,57855,34933,107849,162,377,163,531,5,456,294,118,295408,1,1,1,59
43,47020,33565,40253,72009,670,485,268,214,477,274,343,475,76048,1,1,1,37
44,9330,88789,18257,100855,497,614,764,420,420,367,315,238,2756,1,3,2,35
45,40525,60974,39531,118330,671,619,242,247,51,364,356,245,127855,1,3,1,65
46,81371,57004,49362,96878,323,137,288,484,11,98,402,353,114433,1,3,1,60
47,29687,72190,74398,85070,129,550,139,228,336,189,352,1,15277,1,3,2,48
48,30084,55944,35074,91310,125,165,335,724,329,272,418,419,124285,1,3,1,30
49,40853,17647,23,124153,126,327,717,356,43,419,20,49,278086,1,2,1,21
50,49039,36840,68253,144727,600,680,193,159,378,307,413,497,181833,1,1,1,55
51,87718,85089,82704,147310,797,542,347,483,288,357,264,3,298978,1,2,1,26
52,62713,83694,75942,71613,561,507,638,249,2,62,239,377,178431,1,2,2,63
53,72274,83281,83871,51305,484,429,283,522,256,143,10,390,23809,1,3,2,62
54,52875,25455,66472,85831,161,529,502,733,351,282,66,67,100815,1,3,1,34
55,70031,4631,70508,90328,198,662,348,561,263,61,63,256,187608,1,1,2,34
56,72841,62374,7238,144912,472,638,690,174,45,462,415,293,192816,1,3,2,46
57,71080,55215,79371,50548,309,395,713,264,248,447,35,449,33084,1,3,2,40
58,15053,40697,68579,119708,111,580,445,121,343,290,420,131,106141,1,3,1,39
59,84955,79034,97677,137942,321,746,535,764,327,10,497,227,290857,1,2,2,59
60,37762,65004,84174,129113,553,510,700,465,124,447,423,449,254384,1,2,2,32
61,24779,39732,45987,114908,166,218,149,530,275,254,71,372,260301,1,2,1,38
62,18277,8706,98395,117150,570,268,726,227,475,269,107,104,153950,1,1,1,46
63,85723,27053,70404,106062,517,242,180,398,182,227,307,376,231485,1,3,2,40
64,42274,8250,60579,63776,528,202,148,197,128,185,29,300,53151,1,2,2,61
65,49436,85870,19956,92689,170,454,144,519,318,263,414,171,172606,1,1,1,60
66,40863,81578,62514,123224,287,600,436,753,89,54,423,292,257417,1,1,2,68
67,37655,36180,20071,126766,350,473,236,546,309,458,376,17,214264,1,2,1,49
68,80244,4777,85225,85070,714,450,199,236,3,379,272,422,260392,1,1,1,50
69,32791,52724,27480,149533,429,396,183,392,445,92,29,451,233254,1,3,1,26
70,5613,94801,53065,85280,212,707,392,244,492,49,5,460,256882,1,1,1,23
71,64219,92360,32315,139682,584,494,531,359,340,393,112,48,10189,1,1,1,33
72,75016,73224,96248,95360,762,268,559,654,412,311,352,209,222248,1,2,2,60
73,72098,77900,27461,75287,113,174,718,548,459,301,296,451,71216,1,3,2,64
74,90073,2925,42962,70266,139,430,164,496,298,314,260,26,56419,1,3,2,60
75,57957,1772,75278,103925,392,195,386,116,436,322,438,136,87543,1,2,2,59
76,57085,93121,78326,88484,297,258,701,306,138,248,473,38,157191,1,2,1,59
77,76983,43826,81897,95735,172,190,398,444,450,456,438,5,102798,1,1,1,62
78,387,8151,95056,102995,622,379,582,345,38,473,407,395,206085,1,1,1,27
79,13464,17642,38921,99816,333,264,381,303,387,97,243,129,111375,1,1,2,28
80,93201,97867,57078,127332,268,375,307,174,255,473,5,361,135142,1,3,1,23
81,53905,2492,33458,52665,548,590,479,519,56,317,342,248,244081,1,2,2,64
82,80892,39171,84521,135164,422,392,286,345,57,212,196,305,280466,1,3,1,65
83,27459,91451,80591,54756,170,322,794,118,9,165,389,287,288314,1,1,1,46
84,59402,67735,59789,118391,162,100,318,229,468,463,69,444,94074,1,1,1,38
85,45321,51586,49083,134916,536,390,686,660,408,417,398,42,22045,1,1,2,46
86,90115,74892,16938,101102,765,267,625,654,238,493,351,321,278533,1,1,1,23
87,54570,98628,48876,75998,723,515,127,106,169,406,457,377,229096,1,1,1,46
88,68310,48864,9109,86151,212,283,143,177,296,410,413,219,145547,1,2,2,61
89,89587,17766,22558,139368,331,454,203,666,458,42,271,308,103634,1,3,1,35
90,16791,95386,38572,75629,436,115,321,274,307,362,153,456,108438,1,1,1,21
91,67324,40903,61114,100161,327,288,648,757,457,298,361,425,27966,1,2,1,28
92,53611,32395,47152,127590,641,313,328,220,202,378,128,162,287667,1,3,1,38
93,5996,79728,27455,104264,153,364,113,585,168,127,34,11,225626,1,2,1,59
94,79179,105,41180,112699,600,472,450,537,132,135,214,421,248085,1,2,1,68
95,97289,82365,1744,131891,449,134,382,558,394,120,211,299,113154,1,1,2,54
96,61626,27263,92982,69855,305,482,240,734,446,341,308,27,258646,1,2,1,64
97,47591,3747,10768,115168,260,277,706,570,443,400,115,22,4312,1,3,1,44
98,61587,28593,59895,117380,593,333,669,666,381,246,474,472,17086,1,1,2,45
99,30128,55639,21357,98055,454,748,348,241,128,323,388,471,145007,1,1,2,38
100,40671,76844,51893,92569,595,326,279,534,272,499,432,169,231019,1,1,1,36
101,62920,8388,96373,86182,281,175,305,783,472,154,80,59,4690,1,3,1,24
102,51982,35871,44805,129710,163,137,181,728,395,48,395,26,137705,1,1,2,49
103,53272,86976,65533,122271,585,594,385,292,342,134,290,81,146029,1,3,2,51
104,47884,67347,64512,116631,211,790,565,789,3,241,356,256,221759,1,2,1,24
105,16851,7797,3893,104033,190,687,278,591,31,155,316,307,241519,1,3,2,69
106,69929,71510,91771,50393,615,458,725,424,174,3,67,483,78304,1,1,2,40
107,21338,5675,71852,82082,739,554,607,705,153,124,297,24,228616,1,1,1,22
108,56757,79466,23119,72225,730,128,502,635,464,244,242,163,24325,1,1,2,28
109,21734,42583,14518,67296,705,347,171,458,429,30,284,48,234808,1,3,2,49
110,9693,57811,25149,144164,273,521,791,193,166,228,171,190,248947,1,1,2,67
111,947,12182,31962,133654,242,488,705,396,365,6,341,158,161894,1,2,2,55
112,29478,12555,500,123007,587,553,631,484,25,3,326,82,170301,1,1,2,45
113,30612,20500,17586,129165,255,446,339,168,392,445,181,409,121033,1,2,2,41
114,53007,9421,56592,86331,184,513,663,756,163,325,392,452,203766,1,3,1,30
115,92136,7084,45321,70684,375,778,402,252,446,465,174,275,1226,1,3,2,68
116,48519,92587,37263,103295,490,394,758,448,389,350,191,42,121312,1,3,2,27
117,84635,73523,89841,104707,235,642,304,728,285,487,235,426,144166,1,1,1,27
118,62759,19504,79793,71801,289,400,772,552,328,363,55,327,259461,1,2,1,69
119,61671,18171,78293,132975,569,188,215,244,221,496,61,213,260193,1,1,1,22
120,44932,51227,1702,74655,409,237,713,405,140,329,367,456,194374,1,1,1,43
121,76933,20128,93259,85373,151,393,600,687,408,223,441,443,56575,1,3,2,68
122,38605,15007,35504,105205,535,588,337,435,110,481,148,300,245390,1,3,2,54
123,54929,2090,94904,79189,155,761,467,493,419,45,6,337,21923,1,1,2,23
124,8724,22982,91293,108153,423,336,785,660,36,262,396,156,135701,1,2,2,59
125,66520,4844,92060,56397,738,126,381,433,191,0,480,252,261677,1,3,2,58
126,77951,83869,1068,109621,229,561,156,798,243,73,111,340,264474,1,1,2,62
127,99423,75195,59713,138334,169,338,138,444,90,85,138,98,219930,1,3,2,30
128,24384,92697,68297,56602,743,733,640,676,355,403,391,27,270156,1,1,2,28
129,81405,73216,22344,128288,541,295,468,133,154,183,434,261,236154,1,1,2,33
130,5987,87983,28875,121147,324,665,486,509,318,194,158,17,206569,1,2,1,36
131,51037,11260,45154,120908,690,763,327,324,388,499,201,290,191988,1,3,1,47
132,77275,54724,69926,56069,149,480,434,490,149,313,76,52,116295,1,1,2,37
133,65018,92587,21397,117137,798,449,133,460,405,55,254,118,195596,1,1,1,62
134,3871,75593,21543,69133,625,144,548,571,357,94,199,87,238772,1,3,2,32
135,43035,73868,44948,66631,685,344,326,520,261,106,390,327,4384,1,3,2,49
136,84429,14694,78513,137765,157,316,492,108,254,348,460,489,103474,1,3,2,37
137,8767,63158,23341,137040,433,373,784,348,367,466,473,144,86243,1,1,1,39
138,22139,19340,66637,108806,117,506,652,286,349,325,178,390,9064,1,3,2,39
139,12375,7049,3631,116984,791,439,116,535,238,127,148,267,30896,1,1,2,66
140,80266,79835,14048,141946,648,245,577,412,252,497,418,135,18502,1,3,1,37
141,10522,49357,23583,58908,543,379,363,544,94,230,4,74,92699,1,1,2,47
142,71609,7142,18349,125177,476,286,355,671,358,170,436,458,292342,1,2,2,56
143,82058,25463,2175,69041,737,347,670,395,39,499,295,391,67453,1,1,2,37
144,8168,27761,45887,124159,793,207,230,670,33,72,415,232,289476,1,1,1,39
145,63050,86380,52817,104987,453,658,703,362,185,40,98,211,253925,1,2,2,67
146,87656,91717,51523,130782,190,729,288,527,453,325,91,124,143128,1,2,2,45
147,62344,81730,91064,115775,127,529,604,764,99,452,176,437,52556,1,2,1,33
148,35371,51443,85013,112175,111,247,616,760,262,85,48,60,158499,1,1,2,46
149,99149,87686,52309,133468,106,687,332,292,32,33,182,496,83270,1,1,2,26
150,5207,65054,80699,135152,471,133,208,625,387,289,321,213,216767,1,3,2,63
151,62361,61016,96173,64228,125,366,417,709,105,24,352,67,284092,1,2,2,59
152,83528,74764,62956,93769,436,203,182,195,302,493,421,188,152595,1,3,1,60
153,62398,6085,233,96391,447,434,552,332,498,277,255,368,89560,1,1,1,51
154,85668,60321,16052,75694,719,682,688,353,53,158,280,60,119550,1,2,2,68
155,42282,71748,25935,129068,315,137,679,796,309,259,192,141,119458,1,1,2,33
156,89046,89686,80086,57649,316,735,104,268,54,249,426,236,244035,1,3,2,69
157,39164,4861,1423,144277,570,761,407,210,225,376,153,373,278337,1,1,2,32
158,64757,34761,71854,117728,767,413,112,425,250,20,129,99,7770,1,2,1,69
159,8699,20932,64054,146490,721,702,691,134,355,84,426,238,297062,1,2,1,53
160,63108,11392,36600,116187,678,105,538,796,400,488,443,429,38145,1,1,1,56
161,10642,49186,58518,132459,659,638,635,521,452,82,226,486,6309,1,3,2,53
162,3576,5284,9478,59077,610,135,563,485,406,392,463,417,147551,1,2,2,39
163,37481,64932,8826,147654,380,784,594,792,225,401,365,82,158705,1,3,2,36
164,29051,25003,48649,112950,212,559,191,649,419,346,364,376,608,1,2,1,45
165,39581,27532,7274,96966,161,280,712,504,206,53,338,27,33998,1,3,1,64
166,57855,99825,49262,123201,708,747,191,191,374,59,6,253,172937,1,3,2,63
167,10527,39046,28637,105631,239,107,556,363,95,308,115,176,292380,1,1,2,63
168,77034,23998,45495,145904,165,665,580,114,174,222,155,199,171314,1,3,1,59
169,85787,18275,20759,58236,121,511,261,273,481,469,383,163,121917,1,1,2,46
170,70993,94731,61487,81876,687,399,189,785,438,465,283,350,86764,1,3,2,51
171,97011,61013,62785,118718,272,738,601,317,425,462,440,83,93193,1,2,2,29
172,82766,18421,99158,50775,602,768,702,161,76,24,355,383,278482,1,1,2,69
173,28694,80289,24514,146655,675,407,160,465,27,210,381,160,30780,1,3,2,24
174,95163,32843,60135,66107,577,345,507,465,137,165,335,256,176170,1,1,1,64
175,56934,71324,84907,113339,710,685,551,331,399,277,110,384,247189,1,2,1,44
176,17029,7626,3979,79522,532,758,290,444,22,142,315,335,140539,1,3,2,38
177,58971,92471,66013,78147,757,770,669,120,238,377,284,431,26474,1,1,2,21
178,59202,92300,12779,148076,317,330,639,535,79,420,272,301,256341,1,3,2,50
179,70129,47664,70471,146524,229,152,655,557,187,367,68,252,38554,1,3,2,34
180,40611,24668,76806,88651,508,504,767,135,174,154,337,190,57098,1,1,1,55
181,57823,54696,56968,105939,791,218,434,567,110,444,163,24,206012,1,2,1,47
182,12468,35031,75890,73458,169,461,308,190,180,225,281,143,241275,1,3,2,57
183,30008,73776,72842,60143,712,455,497,169,417,234,29,39,172723,1,3,1,53
184,48308,34052,21477,100739,700,497,540,356,425,238,435,407,218713,1,2,1,31
185,11383,72876,80490,132432,638,593,465,678,215,65,30,9,181371,1,3,2,67
186,4474,48849,99361,85049,409,411,152,316,395,19,113,422,38349,1,2,1,39
187,58720,35174,93075,127533,582,168,381,743,492,214,15,291,246682,1,3,2,29
188,37298,89316,65724,147785,436,603,598,732,277,254,124,20,103520,1,1,1,53
189,21503,80301,22884,104144,140,570,568,784,204,210,140,331,57455,1,1,1,37
190,36939,60444,73355,79320,122,671,161,738,291,438,18,337,104477,1,3,1,61
191,83218,76122,77606,54648,791,781,701,186,285,257,26,473,149831,1,2,2,55
192,33549,38527,49212,102450,348,107,681,569,144,411,382,177,70068,1,1,2,68
193,76026,67349,47575,110737,557,308,617,767,384,172,386,237,47513,1,2,2,66
194,59558,9255,689,130662,694,765,346,333,4,363,72,351,112031,1,3,2,63
195,56542,76761,39907,78834,467,532,623,356,293,395,271,185,11085,1,2,2,50
196,65973,35207,4175,137351,335,141,403,754,238,102,113,202,281514,1,2,2,57
197,27553,84494,1677,113910,209,261,570,146,18,471,344,76,134860,1,2,2,26
198,5903,81145,49573,108780,603,555,311,362,389,197,405,419,76461,1,1,1,34
199,84363,86276,37076,81289,171,376,726,175,26,483,71,213,273546,1,1,2,20
200,3502,58640,15662,132206,493,198,525,610,265,382,421,341,79961,1,1,1,21
201,96922,34786,90236,114616,640,595,356,713,218,38,26,270,257656,1,2,1,51
202,97294,88854,40402,138597,698,666,747,741,342,485,379,57,142871,1,1,2,54
203,2526,60384,32563,91202,753,623,737,427,122,35,310,298,231970,1,1,1,24
204,33418,72307,60675,113353,714,357,262,238,197,391,62,148,172058,1,1,2,23
205,74514,58852,7135,146432,734,734,682,382,464,47,449,477,41998,1,3,2,20
206,33587,55979,38661,103669,486,532,599,146,185,242,384,276,91342,1,2,2,38
207,48457,56467,90032,110886,266,290,316,730,102,210,35,456,292113,1,2,1,23
208,24007,72321,14172,61657,666,446,463,629,222,124,461,46,190340,1,1,2,34
209,18861,72933,48329,87107,461,217,201,168,97,168,124,428,63466,1,2,1,49
210,64594,57160,36402,141309,545,238,214,381,486,75,470,301,115130,1,2,1,40
211,5319,22590,22003,112677,724,105,252,237,137,124,6,268,291038,1,1,2,49
212,80286,32733,40710,148136,689,190,411,508,202,200,345,76,241263,1,1,1,49
213,81385,64853,31633,97240,704,247,142,444,276,433,184,14,258200,1,3,1,21
214,59958,80168,83726,105513,399,391,106,432,61,267,414,230,36773,1,1,1,27
215,98847,35679,31091,142797,564,320,271,681,78,289,308,475,17245,1,2,2,20
216,25455,67367,53641,71592,147,267,317,340,132,234,443,21,86327,1,2,2,33
217,58720,98109,23505,138709,659,579,550,138,211,343,204,286,179767,1,2,2,62
218,70087,16832,70183,110647,729,314,465,704,112,292,491,475,80364,1,1,1,31
219,59027,53918,289,99177,116,371,237,415,128,375,165,455,227920,1,3,2,57
220,30167,26525,99079,94342,632,474,154,366,425,440,451,49,237277,1,3,2,35
221,40367,15572,63366,124199,249,544,676,180,460,74,356,99,170913,1,3,2,67
222,63900,64496,34425,143923,384,344,642,472,181,412,101,379,103463,1,1,1,51
223,24791,44510,33589,56080,731,534,199,311,76,139,494,321,50540,1,2,1,38
224,25905,54959,63343,70231,323,447,571,429,246,115,212,237,224317,1,2,1,27
225,97039,8532,92269,83573,490,740,481,552,169,340,76,80,88204,1,1,1,24
226,91269,90240,10955,78776,186,529,120,427,11,83,282,46,97179,1,1,1,53
227,99190,40956,65689,131881,157,379,552,156,230,460,137,346,32205,1,1,2,25
228,9638,27785,55197,74358,732,184,601,283,189,440,255,321,53139,1,2,2,49
229,29875,77814,56280,61408,573,440,475,214,281,368,450,290,5512,1,3,2,60
230,48932,58394,31208,135486,490,777,779,622,360,52,494,127,167617,1,1,1,31
231,25664,39388,54794,74099,464,333,454,224,87,63,135,495,97878,1,3,2,67
232,25925,23588,2279,139301,556,385,342,720,344,376,450,462,266827,1,1,2,38
233,50092,82943,40663,73596,115,775,367,667,266,192,456,122,253039,1,1,2,23
234,10157,70057,89752,109103,138,345,760,217,75,93,498,242,282239,1,1,1,34
235,27498,81798,44431,53907,522,559,701,768,357,61,79,400,235269,1,1,1,63
236,91491,38731,99986,130922,343,738,250,506,372,75,479,490,13168,1,3,2,25
237,52445,39192,51293,91466,386,754,699,609,499,70,161,134,194661,1,3,2,39
238,75895,96337,52243,70154,269,563,128,631,450,346,373,117,39253,1,3,1,42
239,35493,77171,32970,75714,658,136,272,154,277,206,320,126,215864,1,2,2,55
240,49015,38454,87274,120668,427,405,668,399,348,361,409,90,30049,1,1,1,57
241,99711,67067,49604,72993,457,659,459,174,163,108,353,393,59164,1,2,1,33
242,23401,53817,67984,72835,200,126,539,163,277,265,202,196,2209,1,2,2,52
243,43756,49243,57738,51630,657,643,216,518,273,83,313,455,30178,1,3,1,66
244,44230,86650,26718,117387,282,330,317,676,223,316,189,197,71263,1,1,2,35
245,34438,70301,77521,50154,366,608,341,537,23,164,262,442,174639,1,3,1,31
246,76555,12321,85588,75997,335,203,566,153,30,219,29,286,134255,1,1,2,43
247,60171,82959,82771,136524,517,171,328,102,347,138,333,324,198907,1,1,2,21
248,80017,82412,97934,143930,221,604,180,215,317,456,139,480,51422,1,2,1,60
249,14695,44894,50708,140137,578,683,317,239,159,373,276,192,185082,1,1,1,55
250,28023,13007,73627,61747,443,296,486,492,369,283,31,107,162970,1,1,2,27
251,60599,16325,64482,67992,547,161,528,213,168,17,312,5,287298,1,3,1,35
252,6799,76427,90224,73580,331,618,767,612,193,211,292,252,298224,1,2,1,20
253,22226,94456,84093,143754,791,396,186,784,200,307,233,108,57817,1,3,2,29
254,43390,16768,91595,93199,755,182,320,506,114,291,439,245,243916,1,1,2,62
255,5987,41415,34229,133585,419,428,514,509,121,382,443,469,194100,1,3,2,30
256,31824,35413,31315,95832,560,486,474,156,490,347,471,349,24386,1,2,1,53
257,6359,16783,68277,127202,261,270,307,583,257,63,18,59,223213,1,1,1,35
258,64388,66596,79160,96440,360,202,193,623,464,218,282,487,210536,1,3,1,47
259,53479,81574,7269,96857,457,614,712,165,330,352,382,77,206096,1,3,2,21
260,16382,23013,77095,95509,190,462,556,646,369,81,454,343,239532,1,2,2,20
261,69259,89055,99156,125351,414,173,717,687,339,392,46,136,282432,1,1,2,24
262,83876,13814,56307,79604,233,127,791,470,269,57,234,257,152215,1,1,1,26
263,9872,24581,85814,143049,110,584,767,450,121,83,388,127,18643,1,3,2,34
264,7787,2830,29067,72751,325,107,440,380,261,108,388,460,114820,1,2,2,42
265,74155,71996,21056,80793,214,322,212,744,452,341,486,169,92888,1,3,2,22
266,8519,65773,30775,96231,556,473,418,558,158,0,251,338,247499,1,2,1,31
267,33701,70539,98735,54506,375,403,678,112,123,32,109,346,118593,1,1,1,45
268,48175,14347,21335,68504,641,641,455,784,203,206,99,191,93370,1,1,2,69
269,21146,60536,81027,118168,137,525,174,244,389,58,162,448,103545,1,2,1,47
270,68216,88762,42320,91340,257,588,790,334,3,366,170,210,278311,1,3,2,60
271,66370,33689,7951,78405,776,444,139,688,281,53,474,60,256441,1,1,2,67
272,61825,52717,70925,117344,724,198,222,772,352,41,395,334,90491,1,3,2,69
273,36382,34764,21546,148370,619,137,200,502,423,177,343,410,282908,1,3,1,48
274,79059,96025,77149,137098,645,358,261,457,264,473,439,475,245895,1,3,2,26
275,65827,93253,55091,123902,793,381,321,541,288,358,416,418,264498,1,2,2,49
276,68576,72582,16351,64036,144,706,693,604,123,327,143,499,274675,1,3,1,47
277,9877,55513,38321,128781,208,583,465,660,467,104,382,61,56115,1,2,2,20
278,85960,92828,26737,96103,419,392,595,448,463,407,451,228,248655,1,2,2,29
279,91164,48528,69207,75838,226,772,274,721,453,499,4,153,104544,1,2,1,60
280,69132,61081,27207,96488,631,392,558,187,275,393,307,8,94302,1,3,2,53
281,7662,54238,92444,79598,724,575,759,470,440,244,82,180,64204,1,3,2,66
282,25464,28134,65849,68882,462,369,410,414,216,334,485,165,79289,1,1,1,38
283,51119,61847,69535,58802,559,463,386,653,131,289,42,316,206654,1,3,2,43
284,58645,76651,24856,127307,760,428,194,273,284,128,196,213,263394,1,3,1,49
285,85986,83233,82807,131011,275,283,306,304,400,21,48,277,214517,1,3,1,46
286,42135,10195,29227,137323,331,247,324,682,240,84,153,126,85402,1,2,1,44
287,28580,1454,58948,136996,454,188,163,740,459,407,471,94,130613,1,1,2,23
288,10708,54826,11582,119807,569,587,556,177,90,163,465,341,149101,1,1,2,22
289,46939,48392,30411,119902,719,669,421,413,101,320,432,488,191526,1,3,2,58
290,55202,10120,24760,89711,505,701,110,591,213,155,412,121,240659,1,3,1,60
291,1218,16871,92489,56541,518,487,659,609,374,223,497,6,267998,1,3,1,22
292,47656,10925,23358,149492,497,660,126,542,226,88,222,446,177107,1,1,2,45
293,15403,72179,25094,102907,747,728,713,424,84,359,237,464,58577,1,2,1,46
294,97722,12164,2031,68131,131,262,402,322,155,263,0,169,8268,1,2,1,67
295,58975,97853,30571,131765,305,258,722,353,168,309,496,251,106995,1,2,2,57
296,59247,44742,39615,95253,767,353,575,651,80,24,204,384,156246,1,3,1,48
297,98089,65108,78773,79492,695,437,168,241,459,371,456,448,10352,1,2,1,41
298,34576,2001,45486,125819,410,110,358,203,349,205,27,412,204139,1,2,1,36
299,32266,72622,43353,136100,193,121,537,143,197,68,106,116,161567,1,2,2,59
300,94113,40990,24781,66283,382,177,707,530,97,474,435,232,99246,1,3,1,45
301,13382,31452,76680,75587,413,147,797,540,159,382,126,2,232829,1,2,2,68
302,32450,85445,96448,81609,620,354,287,300,149,406,177,41,43755,1,2,1,41
303,5217,13138,88168,125364,460,437,527,388,50,263,251,18,90049,1,2,2,26
304,93690,15199,4699,126467,783,341,457,285,131,484,164,238,141218,1,2,1,54
305,60142,47336,75225,132928,198,698,241,480,283,208,125,95,142178,1,1,2,66
306,63791,55016,88900,137519,340,795,756,798,305,3,479,492,283818,1,1,2,68
307,99906,49664,6999,72569,358,216,769,287,307,131,461,147,102329,1,1,1,27
308,92286,48762,72695,51407,249,721,614,520,136,458,333,36,262380,1,3,2,30
309,93557,55972,84960,59415,507,272,392,723,68,440,11,483,152459,1,3,1,48
310,11951,45467,14883,100282,543,237,797,658,217,167,92,353,18369,1,2,2,61
311,7752,19427,40379,133698,566,333,461,799,318,125,231,219,255974,1,1,2,58
312,83897,53453,51539,103707,156,545,330,790,447,160,52,219,48869,1,2,2,44
313,82910,91501,86829,98645,226,447,210,587,174,309,272,334,219800,1,1,2,37
314,13963,66927,23964,67264,107,157,437,307,112,199,60,183,121727,1,2,1,48
315,70396,85988,17253,110842,421,676,692,714,283,446,471,189,124384,1,2,2,30
316,1046,24302,52108,147321,277,598,509,603,183,438,289,119,244747,1,3,2,61
317,69523,65411,5208,59819,276,492,430,100,445,72,234,256,242756,1,3,1,26
318,92117,55759,40967,73029,100,369,120,184,310,45,420,20,200523,1,2,1,33
319,19525,79313,62200,127374,150,755,322,588,468,427,426,116,23628,1,3,1,62
320,73111,87903,15993,120316,758,428,137,206,150,367,108,79,47478,1,1,2,56
321,47802,57247,15663,109656,292,592,268,239,68,103,253,229,87656,1,3,1,47
322,50138,96880,332,130803,492,783,713,255,172,336,438,442,212591,1,2,2,24
323,7617,77009,46751,90059,226,387,522,776,113,132,411,303,276800,1,2,1,47
324,53173,38531,76442,119931,172,460,768,239,252,267,45,410,251488,1,3,2,67
325,18961,77292,88079,100426,455,483,586,487,51,112,478,329,126799,1,3,1,25
326,46275,23542,24337,102280,173,269,493,711,132,221,378,47,265669,1,1,2,56
327,17022,22204,98913,144056,289,142,630,668,344,192,475,279,50704,1,2,2,25
328,5428,94598,38648,147444,293,749,489,771,212,419,148,389,82960,1,2,2,49
329,50756,29660,61878,79814,363,551,484,240,56,123,351,295,198550,1,1,2,49
